trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
268,False,"{'a': 0.5, 'e': 0.069252225309346}",30,20,17.84768493634211,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.06856315415427791}",20,11,5.918542591535928,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.06788093937176144}",25,16,15.606915546623087,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.06720551273974976}",25,2,38.69444212132137,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.06653680671501686}",25,9,-26.27655404959802,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
273,False,"{'a': 0.5, 'e': 0.06587475442640295}",20,3,19.20019099605103,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06521928966812753}",20,13,15.010729892322704,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.06457034689316847}",20,12,10.699569606868103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.06392786120670757}",20,16,7.782500949442983,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.0632917683596407}",20,0,-24.249660045163928,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
278,False,"{'a': 0.5, 'e': 0.06266200474215315}",25,5,22.86672800554074,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.06203850737735829}",20,14,13.026312588376767,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.06142121391500013}",20,14,11.040826495494386,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.06081006262521795}",20,15,-9.905169918868861,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.06020499239237354}",20,11,18.031663480236766,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.05960594270893937}",20,14,11.557668779792749,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.05901285366944784}",20,16,6.478306130939751,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.05842566596450083}",20,3,18.523913372001005,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.057844320874838456}",25,5,-28.883423528609175,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
287,False,"{'a': 0.5, 'e': 0.05726876026546736}",25,1,35.78975116391486,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.0566989265798469}",20,10,-14.958759449818642,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.056134762834133725}",20,12,14.713241829351716,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.05557621261148306}",20,0,15.168948064538629,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.05502322005640723}",20,8,22.636581004126445,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.05447572986918986}",25,20,10.36770854496255,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
